Port Name;State;Port Code;Border;Longitud;Latitud;Mes;Year;Measure;Value
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;2013;Rail Containers Empty;4381
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;6;2010;Pedestrians;564662
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;12;2003;Trucks;51963
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2007;Buses;1661
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;1998;Pedestrians;461331
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1;2005;Pedestrians;615416
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2011;Train Passengers;0
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;1999;Personal Vehicles;1400686
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2007;Buses;1370
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;12;2008;Truck Containers Empty;23863
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2004;Truck Containers Loaded;35343
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;2019;Truck Containers Loaded;55782
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2020;Personal Vehicles;355558
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1;1996;Bus Passengers;11363
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2009;Bus Passengers;24902
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2015;Trains;150
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2001;Trains;50
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2013;Train Passengers;0
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;12;2009;Truck Containers Empty;25880
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1;2007;Trains;209
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;5;2000;Bus Passengers;11691
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;1996;Rail Containers Empty;1502
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2005;Rail Containers Loaded;5418
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;4;2005;Buses;1441
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2006;Rail Containers Empty;7277
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;1997;Personal Vehicle Passengers;3935404
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2002;Truck Containers Empty;29382
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2001;Bus Passengers;14483
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2008;Train Passengers;769
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2013;Buses;1858
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;6;2010;Personal Vehicle Passengers;1564054
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2004;Rail Containers Loaded;4460
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2007;Bus Passengers;60481
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1;1998;Buses;407
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;11;2004;Rail Containers Empty;5610
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2011;Pedestrians;532042
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;1999;Train Passengers;52
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;4;2007;Buses;1418
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;12;2008;Train Passengers;880
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;4;2004;Truck Containers Empty;26126
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2019;Pedestrians;730640
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2020;Personal Vehicle Passengers;521418
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1;1996;Trucks;46847
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;2009;Bus Passengers;18986
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2015;Rail Containers Loaded;5295
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2001;Rail Containers Empty;1881
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;6;2013;Personal Vehicles;813673
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;12;2009;Rail Containers Empty;3769
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1;2007;Personal Vehicles;1228688
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;5;2000;Rail Containers Loaded;1082
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;1996;Pedestrians;361254
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2005;Truck Containers Empty;28690
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;4;2005;Rail Containers Loaded;6755
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2006;Train Passengers;1016
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;1997;Rail Containers Empty;1090
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2002;Rail Containers Loaded;1593
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;2;2001;Personal Vehicles;1476329
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1;2008;Train Passengers;770
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2013;Bus Passengers;39147
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;6;2010;Train Passengers;0
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;3;2004;Train Passengers;180
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2007;Bus Passengers;37181
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;12;1997;Truck Containers Empty;20103
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;11;2004;Trains;66
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;11;2011;Truck Containers Empty;25746
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;1999;Rail Containers Empty;1893
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;4;2007;Rail Containers Loaded;7972
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1;2009;Personal Vehicles;885420
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2004;Rail Containers Loaded;5059
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;10;2019;Trucks;71749
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2020;Train Passengers;261
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1;1996;Buses;419
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;7;2009;Train Passengers;0
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;8;2015;Bus Passengers;30370
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;9;2001;Trucks;52641
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;6;2013;Trains;117
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;11;2009;Trucks;55404
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;1;2007;Train Passengers;770
El Paso;Texas;2402;US-Mexico Border;-106.48639;31.758610000000004;5;2000;Personal Vehicles;1374570
